question,answer,id
Are certain species of beetles considered pests?,Yes,174
Is a beetle's general anatomy uniform?,Yes,176
Are beetles endopterygotes?,yes,178
How many species of beetles are there?,"350,000",180
When are sperm cells transferred to the female?,during pairing,182
What is the study of beetles called?,coleopterology,184
"Is it possible that there are more than 350,000 species of beetles?",yes,186
Is the Adephaga suborder larger than the Polyphaga suborder?,no,188
Do carrion beetles eat dung?,no,190
What are prey of various animals including birds and mammals?,Beetles.,192
What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".",193
Who or what vary greatly in form within the coleoptera?,Antennae.,194
Are many beetles territorial?,Yes.,195
Are beetles endopterygotes with complete metamorphosis?,Yes.,196
Oxygen is what?,One kind of gas obtained via a tracheal system.,197
Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.,198
Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.,199
"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",Yes.,200
May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.,201
Can beetles be found in almost all habitats?,Yes.,202
What happened on plants and fungi?,They are food to beetles.,203
Was Calvin Coolidge the twenty-ninth vice president?,no,204
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,206
Did Coolidge graduate from Black River Academy?,yes,208
When did he drop John from his name?,upon graduating from college,210
When did Coolidge meet and marry Grace Anna Goodhue?,1905,212
What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties,214
What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts",216
Of what state was Coolidge governor?,MassachuS08_setts,218
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,219
Was Coolidge the thirteenth President of the United States?,No,221
Was Calvin Coolidge Republican?,Yes,223
Was Calvin Coolidge a governor of MassachuS08_setts?,Yes,225
When was Coolidge born?,July 4 1872,227
Where did Coolidge's grandfather had government offices?,Plymouth,229
Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",231
Is Calvin Jr. older than John Coolidge?,No,233
Did Coolidge get in Amherst College?,Yes,235
What caused Calvin Jr.'s death?,heart attack,237
Was John Calvin Coolidge Jr. was born in Las Vegas?,No,239
Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,Yes,241
Did Coolidge meet and marry Grace Anna Goodhue?,Yes,243
What year did Coolidge open his own law office?,1898,245
What fraternity was Coolidge a member of?,Phi Gamma Delta,247
In 1905 Coolidge met and married whom?,Grace Anna Goodhue,249
Why did Coolidge not attend law school?,It was too expensive,251
Have there been other US presidents that have visited Cuba?,No,253
What years were Coolidge's two sons born in?,1906 and 1908,255
Did France cede nearly all of its colonies in Europe in 1763?,Yes.,281
Is Canada a member of the OECD?,Yes.,284
Is Canada's official language Zulu?,No.,287
What is one significant non-official language?,Chinese.,290
"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City,293
What was the Consitution Act formerly called?,The British North America Act.,295
Which countries established colonies in Canada?,France and Britain.,298
How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",301
What percentage of the population don't speak English or French at home?,28%,304
Is Canada bilingual?,Yes.,307
Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes,309
Is an official language of Canada German?,No.,311
How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories,313
What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",315
Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,317
What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent.",319
What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",321
When did Canada have one of the largest armed forces in the world?,1944.,323
What have been inhabited for millennia by aboriginal peoples?,The lands,325
European books and maps began referring to this region as Canada in what year?,1545,326
What was Canada's most important industry until the 1800s?,The fur trade,327
Is it true that it angered many residents of the thirteen colonies?,yes,328
How do cuba and declining participation relate?,Canada maintains full relations with both.,329
Is it true that provinces have a large degree of autonomy?,yes,330
What did Canada adopt in 1965?,The Maple Leaf Flag,331
What arrived in Britain?,The first Canadian Army units in WW II,332
Are Canada 's two official languages English and French ?,yes,333
Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes,334
Is Canada a geographically vast and ethnically diverse country ?,yes,335
Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!,336
"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes,337
Did continental European immigrants not S08_settle the prairies ?,no,338
Is it the world 's second largest country by total area?,yes,339
What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity",340
Are ducks in the Arctic Northern Hemisphere migratory?,Some are,341
Is a drake a male?,Yes,343
"Do all ducks ""quack""?",No,345
What is the name of a specialized species of duck adapted to catch large fish?,the smew,347
What animal attracts the most humor and silliness?,The duck,348
What is an economic use of a duck?,Meat,350
Who is Daffy Duck?,A silly cartoon character,352
What makes it more difficult for a diving duck to fly?,They are heavier,354
What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers",356
Do ducks forage underwater?,yes,357
Is foie gras often made from ducks?,yes,361
What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.",363
What kind of ducks feed on land?,Dabbling ducks,365
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",367
What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.,369
What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles.",371
How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",373
Are diving ducks heavier tha dabbling ducks?,Yes,375
Are adult ducks fast fliers?,Yes,377
Are ducks an accepted presence in some populated areas?,Yes,379
What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",381
Why are ducklings particularly vulnerable?,Their inability to fly.,383
What are some economic uses for duck?,"Meat,eggs,feathers",385
What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae,387
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,389
"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",391
Is Egypt bordered by the Gaza Strip?,yes,393
Is Egypt the most populated country in Africa?,no,395
Does Egypt have political influence in the Middle East?,yes,397
When was the Six Day War?,1967,399
What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism",401
What is the poulation of Egypt?,more than 78 million,403
Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",405
Are there a large number of Jews living in Egypt today?,no,407
During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) ,409
Is Egypt in Asia?,No.,411
Does Egypt receive the least rainfall in the world?,Yes.,412
Does Egypt's foreign policy operates along moderate lines?,Yes.,414
Since when has Egypt been a republic?,June 18 1953.,416
When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,418
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.",420
What is the estimated population of Egypt?,More than 78 million.,422
Does snow fall in Egypt?,Yes.,424
When did organized agriculture appear in the Nile Valley?,6000 BC.,426
Are elephants the largest land animals alive today?,yes,428
Can an elephant kill a rhinoceros?,yes,430
Are elephants good swimmers?,yes,432
How many living species of African Elephants are there?,2,434
How long may elephants live?,70 years,436
Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,438
How many living species of Asian Elephants are there?,1,440
How much do elephants weight at birth?,120 kilograms,442
What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,444
Are elephant populations in West Africa generally small and fragmented?,yes,446
Is the Asian elephant larger than the African?,no,448
Is an elephant's skin tough?,yes,450
How do elephants communicate over long distances?,by producing and receiving low frequency sound,452
When do African elephants lie down?,when they are sick or wounded,454
How long is the elephant's gestation period?,22 months,455
How many species of African elephants have been proposed?,three,457
What are the elephant's ears important for?,temperature regulation,459
What land animal has the largest brain?,elephant,461
Are elephants mammals?,yes,463
Have elephants been used as working animals?,yes,465
Do they prefer forested areas?,Yes,467
What is the world population of Asian elephants?,60000,469
What part of an elephant is very important for temperature regulation?,Ears,471
Where was the largest elephant ever recorded shot?,Angola,473
Is an Asian elephant smaller than an African elephant?,yes,475
What land animal is larger than an elephant?,"None, the elephant is the largest land animal.",478
Has tusklessness become a rare abnormality?,No,479
Were the treaties signed in 1947 and 1948 with the Ukraine?,no,481
Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes,483
Is the most read newspaper in Finland Taloussanomat?,no,485
Which Russian army general conquered Finland in 1809?,Alexander I,487
What is the life expectancy for men in Finland?,75 years,489
"In what year were the ""Games of the XV Olympiad"" held?",1952,491
What body of water lies to the south of Finland?,the Gulf of Finland,493
Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)",495
"Today, are there more cell phone subscriptions than people in Finland?",yes,497
Is Matti Vanhanen the Prime Minister of Finland?,yes,499
Is the capital city Oslo?,no,501
Does it have a border with Norway?,yes,503
What is the life expectancy for men?,75 years,505
What is the biggest city in Finland?,Greater Helsinki,507
Who is the most popular rock group in Finland?,CMX,509
What is Finland's economy like?,"a highly industrialised, free-market economy",511
Where is Finland located?,Northern Europe,512
What is the weather like in summer?,relatively warm,514
Does salmon remain the favorite of fly rod enthusiasts?,Yes,516
Are there cathedrals scattered all across Finland?,Yes,518
"According to Reader's Digest, is Finland best for living?",Yes,520
When did the first verifiable written documents appear?,Twelfth Century,522
What is the capital city?,Helsinki,524
What is the most extensively celebrated holiday?,Christmas,526
Does a large proportion of the population speak Swedish as its mother tongue?,No,528
Do women live longer than men?,Yes,529
What is a country with which Finland is involved in an international conflict?,Finland is not involved in international conflicts or border disputes. ,532
Was Ford a member of the House of Representatives?,Yes,557
For how long was Ford a member of the House of Representatives?,Over eight years.,559
Was Gerald Ford a member of Delta Kappa Epsilon?,Yes,561
"Did ford get an award called ""Congressman's congressman""?",Yes,563
Did ford attend the University of Michigan?,Yes,565
What positions Ford played in the school football team?,Center and linebacker,567
What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.,569
Who did Ford nominate for Vice President?,Bob Dole,571
Was Ford active about Vietnamese affairs?,No,573
hard,hard,574
Had Ford's wife married before?,Yes,576
Is Ford related with the assassination of John F. Kennedy?,Yes,578
Was Gerald Ford the 38th President of the United States?,yes,579
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes,581
Was Ford an Eagle Scout?,yes,583
What district was Ford elected from?,Michigan's 5th congressional district,585
How many Eagle Scouts were involved in Ford's funeral procession?,400,587
Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger,589
Has another US President been an Eagle Scout?,no,591
Did Ford need to do extra work to pay for college?,yes,593
Have more than five Presidents lived past the age of 90?,no,595
How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.,597
"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.,598
Was Ford released from the hospital?,Yes.,599
"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",Yes.,600
Is Ford one of only four former Presidents to live to 90 or more years of age ?,Yes.,601
Was Ford the last surviving member of the Warren Commission ?,Yes.,602
"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",No.,603
Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.,604
Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes,605
Is English Ghana's official language?,yes,607
Did the Dutch build the Elmina Castle?,No,609
When did Ghana achieve independence from the United Kingdom?,1957,611
How many regions is Ghana divided into?,10,613
Who is the head of state of Ghana?,President John Agyekum Kofuor,615
What is the dominant religion in Ghana?,Christian,617
What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur,619
What is the weather like at Lake Volta?,Warm and comparatively dry,621
Is Ghana in Asia?,no,623
Is English the official language?,yes,625
Is Ghana's head of state John Agyekum Kufuor?,yes,627
What does the word Ghana mean?,warrior king,629
Who was Kwame Nkrumah?,founder and first president,631
Where is old Ghana in relation to present Ghana?,500 miles north,633
Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress,635
What European countries established states in Ghana?,The UK,637
Does the Gray Wolf share an ancestry with the domestic dog?,Yes,663
Do wolf pups tend to have darker fur than adults?,Yes,665
Do wolves leave their pack?,Yes,667
What kinds of coats do wolves have?,bulky coats with two layers,669
Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,671
How much do wolves weigh?,typically varies between 32 and 62 kilograms,673
Why do wolves howl?,"Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own. ",675
What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.,677
Are Gray Wolves native to North America?,Yes,679
Is the Gray Wolf a mammal?,Yes,681
Are a wolf's teeth its main weapons?,Yes,683
Are wolves built for stamina?,Yes,685
Where is the largest gray wolf population thought to be found?,Kazakhstan,687
To what genus does the gray wolf belong?,Canis,689
When do wolves molt?,Late Spring or Early Summer,691
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year,693
What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.,695
"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance,697
Was Grover Cleveland born in New York?,no,699
Did Grover Cleveland win the 1884 election?,yes,701
Did Grover Cleveland support women's suffrage?,No,703
Where was Grover Cleveland married?,In the White House,705
What did Cleveland die from?,A heart attack,707
How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year,709
What did Cleveland's opponents say in 1884 to counter his innocent image?,That he had fathered an illegitimate child,711
Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine,713
Why did Cleveland want to hide his cancer surgery from the public?,To avoid further market panic,715
Was Grover Cleveland the twenty-seventh president of the United States?,No.,717
Is Grover Cleveland honest?,Yes.,719
Was Grover Cleveland married in the whitehouse?,Yes.,721
"When was he elected sheriff of Erire County, New York?",Yes.,723
When did he die?,June 24 1908,725
Which election did Grover Cleveland win?,1884 and 1892 presidential elections,727
Who were Grover Cleveland's parents?,"Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.",728
How many children did Grover Cleveland have?,5,730
Who lost control of his party to the agrarians and silverites in 1896?,Grover Cleveland,732
Is it true that he sent in federal troops to chicago?,yes,733
"Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?",yes,734
"Was Grover Cleveland elected Sheriff of Erie County, New York?",yes,735
Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?,yes,736
Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,yes,737
Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,yes,738
"Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?",yes,739
He became chief engineer in the Department of Bridges and Highways in what year?,in 1894,740
What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed,741
Is it true that he married louise désirée lorieux in 1890?,yes,742
Is it true that he shared the nobel prize in physics?,yes,743
When did he marry louise désirée lorieux?,1890,744
Was Becquerel elected Permanent Secretary of the Académie des Sciences?,yes,745
"Was Becquerel born in Paris into a family which, including he and his son Jean, produced four generations of scientists?",yes,746
Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel,747
Did he not die at the age of 55 in Le Croisic ?,Yes he died at the age of 55,748
Did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design ?,yes,749
What happened in 1896?, Becquerel accidentally discovered radioactivity.,750
What happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day,751
Is there a becquerel crater on the moon and a becquerel crater on mars?,yes,752
Are the Javanese the largest and politically dominant ethnic group in Indonesia?,yes,753
Is Indonesia a monarchy with a presidential system?,no,755
Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?,yes,757
In what year did East Timor secede from Indonesia?,1999,759
When did Islam become the dominant religion in Java and Sumatra?,the end of the 16th century,761
Does Indonesia have the world's hightest level of biodiversity?,no,763
Was Indonesia named after it became an independent country?,no,765
Why did Indonesia break off relations with the People's Republic of China?,because of anti-communist purges early in the Suharto era,767
Which spice originally attracted Europeans to Indonesia?,"nutmeg, cloves, or cubeb pepper",769
What is Jakarta?,Indonesia's special capital region,771
"What shares land borders with Papua New Guinea, East Timor and Malaysia?",Indonesia,772
What are the largest and politically dominant ethnic group?,the Javanese,773
What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,774
Is it true that indonesia has vast areas of wilderness?,yes,775
Is Indonesia a republic?,yes,776
Are Sports in Indonesia generally male-orientated?,yes,777
Is Indonesia the world's largest archipelagic state?,yes,778
Are sports in Indonesia generally male-orientated and spectator sports are often associated with illegal gambling ?,yes,779
Is Pencak Silat an Indonesian martial art ?,yes,780
Has Indonesia the world 's largest Muslim population ?,yes,781
Who has its own political legislature and governor ?,each province,782
Is it the world 's largest archipelagic state?,yes,783
Is it the world 's fourth most populous country and the most populous muslim-majority nation?,yes,784
Is indonesia a republic?,yes,785
Is James Monrow the fifth president of US?,Yes,810
What is the first word on the page?,James,812
What is the first number on the page?,28,814
When did Monroe's presidency expired?,"March 4, 1825",816
What is Monroe's father's name?,Spence,818
What is Monroe's daughter's name?,Maria Hester Monroe Gouverneur,820
"What does ""Era of Good Feelings"" refers to?",Reduced tension,822
Did Monroe' wedding happen at the Trinity Church in New York?,Yes,824
What is Monroe Doctrine?,A doctrine declaring U.S. opposition to European interference in the Americas.,826
Was James Monroe President of the United States?,yes,828
Did James Monroe attend the College of William and Mary?,yes,830
Did James Monroe fight in the Continental Army?,yes,832
Where was James Monroe born?,"Westmoreland County, Virginia",834
Where was James Monroe shot?,"at the Battle of Trenton, in his left shoulder",836
Who did James Monroe marry?,Elizabeth Kortright,838
What did James Monroe do before being elected governor?,He practiced law in Virginia.,840
In which years were John Monroe elected as President?,1817-1825,842
Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington,844
When was James Monroe appointed to Secretary of War?,1814,846
When did James Monroe die?,"July 4, 1831",848
When did James Monroe graduate from William and Mary?,1776,850
When was James Monroe elected president?,"Monroe was elected president in the election of 1816, and re-elected in 1820.",852
Which property did James Monroe sell in 1817?,Monroe Hill on the grounds of the University of Virginia.,854
When did James Monroe introduce the Monroe Doctrine?,"December 2, 1823",856
Who did James Monroe live with in New York City?,His daughter Maria Hester Monroe Gouverneur,858
What did James Monroe's letters not contain?,No letters survive in which he might have discussed his religious beliefs.,860
What was the result of the rejection of the Jay Treaty?,"As a result, the two nations moved closer toward the War of 1812. ",862
Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?,Monroe,864
"What dwindled and eventually died out, starting with the Hartford Convention?",The Federalist Party,865
Is it true that he practiced law in fredericksburg?,yes,866
What did James Monroe make in 1817?,two long tours,867
Was Monroe anticlerical?,no,868
Was Monroe appointed Minister to France from 1794 to 1796?,yes,869
What expired on March?,Monroe's presidency,870
Had Monroe racked up many debts during his years of public life ?,yes,871
Who dismantled partisan and sectional coalitions ?,many congressmen,872
What happened in 1811?,Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia,874
What happened in the election of 1816?,Monroe was elected president,875
Who died in childbirth in 1772?,Margaret Miller,876
Who died in 1832?,Margaret Miller.,877
"Is watt commemorated by statuary in George Square, Glasgow and Princes Street, Edinburgh?",Yes.,878
"Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?",Yes.,879
Was watt a fellow of the Royal Society of Edinburgh and the Royal Society of London?,Yes.,880
"Four years after opening his shop , Watt began what?","Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it.",881
Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history ?,Yes.,882
Did John Adams represent the Continental Congress in Europe?,Yes.,883
Was Adams raised Congregationalist?,Yes.,885
Was Adams an opponent of the Stamp Act?,Yes.,887
When did Adams graduate from college?,1755.,889
Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman.",891
What did Jefferson call John Adams?,"The ""Colossus of Independence"".",893
What was Adams' political party?,The Federalist Party.,895
Was Adams the first to introduce a bicameral legislature?,Yes.,897
Did John Adams get along with Alexander Hamilton?,No.,899
Did John Adams go to Harvard? ,yes,901
Did John Adams support the Stamp Act of 1765?,No,903
Is Adams' birthplace part of a national park?,yes,905
When did John Adams serve as Vice President?,1789-1797,907
With what party did Adams run for presidency?,The Federalist Party,909
Where is Adams buried?,United First Parish Church,911
Who were the midnight judges?,"They were a series of judges, so called because most of them were formally appointed days before Adams' presidential term expired",913
In what ways was Adams opposed by Anderw Hamilton?,Hamilton wanted to control the army differently than Adams,915
What information did he record in his diary?,Descriptions of events and ompressions of men,916
Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,John Adams,918
Who represented the Continental Congress in Europe?,John Adams,919
What is now part of Adams National Historical Park?,John Adams' birthplace,920
Is it true that adams had spent some time as the ambassador?,yes,921
Is it true that massachuS08_setts sent him in 1774?,yes,922
Who did MassachuS08_setts send in 1774?,John Adams,923
"Are his last words often quoted as "" Thomas Jefferson survives "" . ?",yes,924
"The John Adams Library , housed at the Boston Public Library , contains what?","Adams's personal collection of more than 3,500 volumes",925
Adams ' opponents were what?,Democratic Republicans,926
"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?",No.,927
What happened in 1764?,Adams married Abigail Smith,928
Is a kangaroo a reptile?,no,929
Is a kangaroo on the Australian coat of arms?,yes,931
"Was James Cook the first to record the name ""Kangooroo?""",yes,933
What is a collective noun for kangaroos?,"mob, troop, or court",935
Where do joeys complete postnatal development?,marsupium,937
"What do kangaroos use for ""crawl-walking?""",its hind feet,939
Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.,941
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria,943
Are wild kangaroos shot for meat?,yes,945
Have kangaroos fared well since European S08_settlement?,yes,947
Do kangaroos have many natural predators?,no,949
What is the average life expectancy of a kangaroo?,4.6 years,951
When did the first official report of kangaroo blindness take place?,1994,953
What are vehicles that frequent isolated roads often fitted with?,roo bars,955
Do kangaroos eat plants?,yes,957
What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi",959
Is a Kangaroo a Marsupial?,Yes,962
Is the kangaroo an herbivour?,Yes,964
Are Kangaroos Shy?,Yes,966
What method of locomotion do Kangaroos Use?,hopping,968
What is a collective noun for a kangaroo?,"a mob, troop, or court",972
What is a roo?,a kangaroo,974
What is used to protect a vehicale from a Kangaroo?,roo bars,976
What method is used by Kangaroos to travel?,hopping,978
Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks,979
