parameter,question_id,question_text,document_id,question,ground_truth,predicted_answer,num_docs,exact_match,contains_answer,f1_score,cosine_similarity,euclidean_distance,dot_product_similarity,manhattan_distance,bertscore_precision,bertscore_recall,bertscore_f1
5,428,Are elephants the largest land animals alive today?,"1177,1192,1236,1260,1282",Are elephants the largest land animals alive today?,yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,428,Are elephants the largest land animals alive today?,"1177,1187,1192,1202,1236,1260,1282",Are elephants the largest land animals alive today?,yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,428,Are elephants the largest land animals alive today?,"1177,1186,1187,1192,1197,1202,1236,1260,1269,1282",Are elephants the largest land animals alive today?,yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,774,What happens when the srivijaya kingdom formed trade links?,"752,763",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,trade links with China were formed.,2,False,False,0.14285714285714288,0.6034344881386063,0.8905790384479019,0.6034344881386063,19.28011537878242,0.7766720056533813,0.7478360533714294,0.7619813084602356
3,774,What happens when the srivijaya kingdom formed trade links?,"752,763,765",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,"The Indonesian archipelago has been an important trade region since at least the seventh century, when the Srivijaya Kingdom formed trade links with China.",3,False,False,0.48275862068965514,0.8129750826902257,0.6115961368579358,0.8129750826902257,13.34926527259179,0.7816809415817261,0.948374330997467,0.8569970726966858
5,774,What happens when the srivijaya kingdom formed trade links?,"752,763,765,2180,2366",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,The Srivijaya Kingdom formed trade links with China.,5,False,False,0.25,0.5706000070373073,0.9267146194624254,0.5706000070373073,19.990015603160998,0.752068281173706,0.8132179975509644,0.7814486622810364
7,774,What happens when the srivijaya kingdom formed trade links?,"752,756,763,765,2180,2364,2366",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,The Srivijaya Kingdom formed trade links with China.,7,False,False,0.25,0.5706000070373073,0.9267146194624254,0.5706000070373073,19.990015603160998,0.752068281173706,0.8132179975509644,0.7814486622810364
10,774,What happens when the srivijaya kingdom formed trade links?,"752,756,763,765,1374,2180,2364,2366,2814,2911",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,The Srivijaya Kingdom formed trade links with China.,10,False,False,0.25,0.5706000070373073,0.9267146194624254,0.5706000070373073,19.990015603160998,0.752068281173706,0.8132179975509644,0.7814486622810364
2,47,How long was Lincoln's legal Career?,"374,390",How long was Lincoln's legal Career?,23 years,Unknown,2,False,False,0.0,0.42887827472106665,1.0687579008165835,0.42887827472106665,23.378168216819617,0.6131957173347473,0.6018896698951721,0.607490062713623
3,47,How long was Lincoln's legal Career?,"292,374,390",How long was Lincoln's legal Career?,23 years,14 years,3,False,False,0.5,0.704411218957369,0.7688807203235526,0.704411218957369,15.907655660482298,0.9288710951805115,0.9288710951805115,0.9288710951805115
5,47,How long was Lincoln's legal Career?,"288,292,306,374,390",How long was Lincoln's legal Career?,23 years,23 years,5,True,True,1.0,1.0000000000000018,0.0,1.0000000000000018,0.0,0.9999995231628418,0.9999995231628418,0.9999995231628418
7,47,How long was Lincoln's legal Career?,"288,292,306,374,390,397,2364",How long was Lincoln's legal Career?,23 years,23 years,7,True,True,1.0,1.0000000000000018,0.0,1.0000000000000018,0.0,0.9999995231628418,0.9999995231628418,0.9999995231628418
10,47,How long was Lincoln's legal Career?,"278,288,292,302,306,374,390,397,2086,2364",How long was Lincoln's legal Career?,23 years,23 years,10,True,True,1.0,1.0000000000000018,0.0,1.0000000000000018,0.0,0.9999995231628418,0.9999995231628418,0.9999995231628418
2,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","803,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,2,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
3,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","803,806,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,3,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
5,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","803,806,1267,2730,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","67,803,806,1260,1267,2730,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","67,801,803,804,806,1260,1267,2707,2730,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,595,Have more than five Presidents lived past the age of 90?,"2103,2883",Have more than five Presidents lived past the age of 90?,no,No,2,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
3,595,Have more than five Presidents lived past the age of 90?,"2092,2103,2883",Have more than five Presidents lived past the age of 90?,no,No.,3,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
5,595,Have more than five Presidents lived past the age of 90?,"409,427,2092,2103,2883",Have more than five Presidents lived past the age of 90?,no,No.,5,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
7,595,Have more than five Presidents lived past the age of 90?,"409,427,702,2086,2092,2103,2883",Have more than five Presidents lived past the age of 90?,no,No.,7,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
10,595,Have more than five Presidents lived past the age of 90?,"409,427,516,702,2086,2092,2096,2101,2103,2883",Have more than five Presidents lived past the age of 90?,no,Yes.,10,False,False,0.0,0.9066379330846714,0.43211588009544405,0.9066379330846714,9.548678758074498,0.7515814900398254,0.7844705581665039,0.767673909664154
2,875,What happened in the election of 1816?,"201,202",What happened in the election of 1816?,Monroe was elected president,No information available.,2,False,False,0.0,0.3381538513592131,1.1505182733366632,0.3381538513592131,25.35908936839168,0.6199012398719788,0.6291785836219788,0.6245054602622986
3,875,What happened in the election of 1816?,"201,202,437",What happened in the election of 1816?,Monroe was elected president,No information available.,3,False,False,0.0,0.3381538513592131,1.1505182733366632,0.3381538513592131,25.35908936839168,0.6199012398719788,0.6291785836219788,0.6245054602622986
5,875,What happened in the election of 1816?,"201,202,437,710,2364",What happened in the election of 1816?,Monroe was elected president,James Monroe was re-elected.,5,False,False,0.5,0.8068038811719543,0.6216045669524113,0.8068038811719543,13.672858814736564,0.8358967900276184,0.8390026092529297,0.8374468088150024
7,875,What happened in the election of 1816?,"201,202,437,691,710,2116,2364",What happened in the election of 1816?,Monroe was elected president,No information available.,7,False,False,0.0,0.3381538513592131,1.1505182733366632,0.3381538513592131,25.35908936839168,0.6199012398719788,0.6291785836219788,0.6245054602622986
10,875,What happened in the election of 1816?,"201,202,437,483,677,691,710,2116,2364,2513",What happened in the election of 1816?,Monroe was elected president,Monroe was elected president.,10,True,True,1.0,0.9589582952266771,0.2865020236344736,0.9589582952266771,6.3794418129887855,0.952667236328125,0.967851996421814,0.9601995944976807
2,951,What is the average life expectancy of a kangaroo?,"1735,1740",What is the average life expectancy of a kangaroo?,4.6 years,4-6 years,2,True,True,1.0,0.822558722298941,0.5957201989207014,0.822558722298941,12.861291272854427,0.8503201603889465,0.8504163026809692,0.8503682017326355
3,951,What is the average life expectancy of a kangaroo?,"1729,1735,1740",What is the average life expectancy of a kangaroo?,4.6 years,4-6 years,3,True,True,1.0,0.822558722298941,0.5957201989207014,0.822558722298941,12.861291272854427,0.8503201603889465,0.8504163026809692,0.8503682017326355
5,951,What is the average life expectancy of a kangaroo?,"1728,1729,1735,1740,1748",What is the average life expectancy of a kangaroo?,4.6 years,4-6 years,5,True,True,1.0,0.822558722298941,0.5957201989207014,0.822558722298941,12.861291272854427,0.8503201603889465,0.8504163026809692,0.8503682017326355
7,951,What is the average life expectancy of a kangaroo?,"1623,1728,1729,1735,1740,1748,1761",What is the average life expectancy of a kangaroo?,4.6 years,4-6 years,7,True,True,1.0,0.822558722298941,0.5957201989207014,0.822558722298941,12.861291272854427,0.8503201603889465,0.8504163026809692,0.8503682017326355
10,951,What is the average life expectancy of a kangaroo?,"1623,1722,1723,1728,1729,1735,1740,1745,1748,1761",What is the average life expectancy of a kangaroo?,4.6 years,46 years.,10,True,True,1.0,0.7429423288402983,0.7170183695829597,0.7429423288402983,15.860139996806424,0.7821774482727051,0.7469223141670227,0.7641434669494629
2,463,Are elephants mammals?,"1236,1260",Are elephants mammals?,yes,Yes.,2,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
3,463,Are elephants mammals?,"1186,1236,1260",Are elephants mammals?,yes,Yes.,3,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
5,463,Are elephants mammals?,"1186,1197,1236,1260,1282",Are elephants mammals?,yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,463,Are elephants mammals?,"1177,1186,1197,1202,1236,1260,1282",Are elephants mammals?,yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,463,Are elephants mammals?,"1175,1177,1180,1186,1187,1197,1202,1236,1260,1282",Are elephants mammals?,yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,1688,Was Wilson an automobile enthusiast?,"2232,2238",Was Wilson an automobile enthusiast?,yes,No,2,False,False,0.0,0.9284450666850477,0.37829864740692354,0.9284450666850477,8.381697422155323,0.881293535232544,0.881293535232544,0.8812935948371887
3,1688,Was Wilson an automobile enthusiast?,"2211,2232,2238",Was Wilson an automobile enthusiast?,yes,No,3,False,False,0.0,0.9284450666850477,0.37829864740692354,0.9284450666850477,8.381697422155323,0.881293535232544,0.881293535232544,0.8812935948371887
5,1688,Was Wilson an automobile enthusiast?,"1407,2195,2211,2232,2238",Was Wilson an automobile enthusiast?,yes,No,5,False,False,0.0,0.9284450666850477,0.37829864740692354,0.9284450666850477,8.381697422155323,0.881293535232544,0.881293535232544,0.8812935948371887
7,1688,Was Wilson an automobile enthusiast?,"1407,1447,2195,2211,2232,2237,2238",Was Wilson an automobile enthusiast?,yes,No,7,False,False,0.0,0.9284450666850477,0.37829864740692354,0.9284450666850477,8.381697422155323,0.881293535232544,0.881293535232544,0.8812935948371887
10,1688,Was Wilson an automobile enthusiast?,"1407,1447,2195,2208,2211,2227,2232,2237,2238,2246",Was Wilson an automobile enthusiast?,yes,No.,10,False,False,0.0,0.9336112273676634,0.3643865327707324,0.9336112273676634,8.214642273165634,0.7451081871986389,0.7866244912147522,0.7653037309646606
2,1150,Was Fillmore one of the founders of the University of Buffalo?,"152,181",Was Fillmore one of the founders of the University of Buffalo?,yes,Yes.,2,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
3,1150,Was Fillmore one of the founders of the University of Buffalo?,"152,181,403",Was Fillmore one of the founders of the University of Buffalo?,yes,Yes.,3,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
5,1150,Was Fillmore one of the founders of the University of Buffalo?,"152,176,180,181,403",Was Fillmore one of the founders of the University of Buffalo?,yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,1150,Was Fillmore one of the founders of the University of Buffalo?,"152,176,180,181,403,2124,2127",Was Fillmore one of the founders of the University of Buffalo?,yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,1150,Was Fillmore one of the founders of the University of Buffalo?,"150,152,176,180,181,403,2086,2124,2127,2364",Was Fillmore one of the founders of the University of Buffalo?,yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"953,981",Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes,Yes.,2,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
3,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"953,979,981",Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes,Yes.,3,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
5,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"953,967,979,981,993",Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"953,967,971,979,981,993,1016",Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"952,953,967,969,971,975,979,981,993,1016",Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,158,Can beetles be found in polar regions?,"2400,2642",Can beetles be found in polar regions?,No,No,2,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
3,158,Can beetles be found in polar regions?,"2368,2400,2642",Can beetles be found in polar regions?,No,No,3,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
5,158,Can beetles be found in polar regions?,"2368,2378,2400,2628,2642",Can beetles be found in polar regions?,No,No.,5,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
7,158,Can beetles be found in polar regions?,"2368,2378,2400,2618,2628,2642,2652",Can beetles be found in polar regions?,No,No.,7,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
10,158,Can beetles be found in polar regions?,"2368,2378,2400,2402,2608,2618,2624,2628,2642,2652",Can beetles be found in polar regions?,No,No.,10,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
2,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"2493,2494",Were the Leopard men a West African secret society who practised cannibalism ?,Yes,Yes.,2,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
3,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"2455,2493,2494",Were the Leopard men a West African secret society who practised cannibalism ?,Yes,Yes.,3,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
5,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"2455,2480,2493,2494,2505",Were the Leopard men a West African secret society who practised cannibalism ?,Yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"2455,2474,2480,2482,2493,2494,2505",Were the Leopard men a West African secret society who practised cannibalism ?,Yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"1171,2455,2467,2472,2474,2480,2482,2493,2494,2505",Were the Leopard men a West African secret society who practised cannibalism ?,Yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,475,Is an Asian elephant smaller than an African elephant?,"1182,1198",Is an Asian elephant smaller than an African elephant?,yes,Yes.,2,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
3,475,Is an Asian elephant smaller than an African elephant?,"1182,1189,1198",Is an Asian elephant smaller than an African elephant?,yes,Yes.,3,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
5,475,Is an Asian elephant smaller than an African elephant?,"1180,1182,1189,1198,1236",Is an Asian elephant smaller than an African elephant?,yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,475,Is an Asian elephant smaller than an African elephant?,"1180,1182,1186,1189,1193,1198,1236",Is an Asian elephant smaller than an African elephant?,yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,475,Is an Asian elephant smaller than an African elephant?,"1180,1182,1186,1189,1193,1198,1202,1204,1224,1236",Is an Asian elephant smaller than an African elephant?,yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,1039,What sort of cats are solitary?,"1167,2458",What sort of cats are solitary?,Leopards,Leopards.,2,True,True,1.0,0.9335916177351065,0.3644403442674661,0.9335916177351065,8.184648258266314,0.8978112936019897,0.9719324111938477,0.9334026575088501
3,1039,What sort of cats are solitary?,"1167,2458,2596",What sort of cats are solitary?,Leopards,Leopards.,3,True,True,1.0,0.9335916177351065,0.3644403442674661,0.9335916177351065,8.184648258266314,0.8978112936019897,0.9719324111938477,0.9334026575088501
5,1039,What sort of cats are solitary?,"1035,1167,2458,2475,2596",What sort of cats are solitary?,Leopards,Leopards.,5,True,True,1.0,0.9335916177351065,0.3644403442674661,0.9335916177351065,8.184648258266314,0.8978112936019897,0.9719324111938477,0.9334026575088501
